,,total_passengers,total_passengers,total_passengers,total_passengers,total_passengers,total_passengers,total_passengers,total_passengers,avg_price,avg_price,avg_price,avg_price,avg_price,avg_price,avg_price,avg_price
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
origin_state,destination,,,,,,,,,,,,,,,,
CA,"Los Angeles, CA (Metropolitan Area)",3.0,352.6666666666667,142.72117338830049,252.0,271.0,290.0,403.0,516.0,3.0,175.78570055133514,20.18117413476422,155.12346576227392,165.95420599941653,176.78494623655914,186.11681794586576,195.4486896551724
CA,"Louisville, KY",30.0,1210.7666666666667,249.59645821610326,535.0,1124.5,1198.5,1345.25,1889.0,30.0,370.33215798676645,51.44175491554162,247.36538078405258,345.0108377588293,364.3831185690377,393.59347202381684,469.78582777248175
CA,"Madison, WI",16.0,299.9375,196.52327046264352,146.0,165.0,169.5,392.5,702.0,16.0,371.4272337923878,45.104273797933054,271.25373134328356,333.2998608534323,386.97345301540196,395.7187304026737,426.68
CA,"Medford, OR",30.0,779.0666666666667,329.5892881308109,146.0,550.0,750.5,1018.25,1398.0,30.0,250.6711374397792,49.673018724538785,181.1524564642844,210.12066438758123,229.27468337115232,303.19234675757605,330.6111111111111
CA,"Memphis, TN",30.0,1532.9,391.92718799498357,912.0,1184.5,1510.5,1823.25,2412.0,30.0,407.01328950577937,100.60459425210858,250.80206494409668,333.00112734832703,407.84154147614447,480.98584979088963,574.0076506054618
CA,"Miami, FL (Metropolitan Area)",30.0,10775.633333333333,3135.8370326600675,6645.0,7513.5,10590.0,13306.0,16901.0,30.0,394.17965895672063,59.18823304313431,282.46450821653383,362.01716624286723,380.45484590946256,408.34780119885914,529.2836673759351
CA,"Milwaukee, WI",30.0,2131.2,571.144730736681,697.0,1833.75,2232.5,2406.75,3211.0,30.0,331.23727717499514,44.074172495440216,249.64909615961594,302.07689068852363,329.29398691310206,339.7449896528787,411.62802637985214
CA,"Minneapolis/St. Paul, MN",30.0,6963.166666666667,1530.1334871525905,3495.0,6264.25,6995.0,7901.75,9544.0,30.0,356.1538501287369,80.27962078889898,222.64256064565362,299.277192007632,347.91358568363637,392.3998378348452,532.3982686811655
CA,"Missoula, MT",9.0,209.44444444444446,82.48804627203737,116.0,177.0,185.0,206.0,413.0,9.0,240.92587173261524,22.907521985913483,212.85714285714286,219.46239955082996,236.73611111111111,261.52054794520546,273.98591549295776
CA,"Nashville, TN",30.0,4237.833333333333,1766.6388519822983,2508.0,3075.25,3514.0,5064.5,8847.0,30.0,344.2849760315338,38.94838285247003,244.82642920047223,323.40432393327177,347.4976190922181,373.55420052118393,397.9530652526753
